GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dropwizard GELF Bundle,net.gini.dropwizard.gelf.filters,GelfLoggingFilter.AdditionalKeys,3,0,0,0,1,0,1,0,1,0
Dropwizard GELF Bundle,net.gini.dropwizard.gelf.filters,GelfLoggingFilter.CountingServletOutputStream,21,0,0,0,8,0,5,0,5,0
Dropwizard GELF Bundle,net.gini.dropwizard.gelf.filters,GelfLoggingFilter.CountingHttpServletResponseWrapper,40,0,4,0,12,0,7,0,5,0
Dropwizard GELF Bundle,net.gini.dropwizard.gelf.filters,GelfLoggingFilter,325,0,10,0,68,0,11,0,6,0
Dropwizard GELF Bundle,net.gini.dropwizard.gelf.logging,UncaughtExceptionHandlers.LoggingExiter,71,0,2,0,20,0,5,0,4,0
Dropwizard GELF Bundle,net.gini.dropwizard.gelf.logging,UncaughtExceptionHandlers,15,0,0,0,4,0,3,0,3,0
Dropwizard GELF Bundle,net.gini.dropwizard.gelf.logging,UncaughtExceptionHandlers.Exiter,26,0,0,0,7,0,2,0,2,0
Dropwizard GELF Bundle,net.gini.dropwizard.gelf.logging,GelfAppenderFactory,84,204,1,3,37,63,22,16,21,15
Dropwizard GELF Bundle,net.gini.dropwizard.gelf.logging,GelfBootstrap,46,0,2,0,14,0,4,0,3,0
Dropwizard GELF Bundle,net.gini.dropwizard.gelf.logging,UncaughtExceptionHandlers.LoggingSystemExitBuilder,53,0,0,0,14,0,5,0,5,0
